年月日	降水量の合計(mm)	降水量の合計(mm)	降水量の合計(mm)	降水量の合計(mm)	平均気温(℃)	平均気温(℃)	平均気温(℃)	最高気温(℃)	最高気温(℃)	最高気温(℃)	最低気温(℃)	最低気温(℃)	最低気温(℃)	日照時間(時間)	日照時間(時間)	日照時間(時間)	日照時間(時間)	合計全天日射量(MJ/㎡)	合計全天日射量(MJ/㎡)	合計全天日射量(MJ/㎡)	平均風速(m/s)	平均風速(m/s)	平均風速(m/s)	最大風速(m/s)	最大風速(m/s)	最大風速(m/s)	最大風速(m/s)	最大風速(m/s)	最大瞬間風速(m/s)	最大瞬間風速(m/s)	最大瞬間風速(m/s)	最大瞬間風速(m/s)	最大瞬間風速(m/s)	最多風向(16方位)	最多風向(16方位)	最多風向(16方位)	平均蒸気圧(hPa)	平均蒸気圧(hPa)	平均蒸気圧(hPa)	平均湿度(％)	平均湿度(％)	平均湿度(％)	平均現地気圧(hPa)	平均現地気圧(hPa)	平均現地気圧(hPa)	平均海面気圧(hPa)	平均海面気圧(hPa)	平均海面気圧(hPa)	平均雲量(10分比)	平均雲量(10分比)	平均雲量(10分比)	天気概況(昼：06時～18時)	天気概況(昼：06時～18時)	天気概況(昼：06時～18時)	天気概況(夜：18時～翌日06時)	天気概況(夜：18時～翌日06時)	天気概況(夜：18時～翌日06時)
																										風向	風向				風向	風向																									
		現象なし情報	品質情報	均質番号		品質情報	均質番号		品質情報	均質番号		品質情報	均質番号		現象なし情報	品質情報	均質番号		品質情報	均質番号		品質情報	均質番号		品質情報		品質情報	均質番号		品質情報		品質情報	均質番号		品質情報	均質番号		品質情報	均質番号		品質情報	均質番号		品質情報	均質番号		品質情報	均質番号		品質情報	均質番号		品質情報	均質番号		品質情報	均質番号
7/1/2011	0	0	8	1	28.7	8	1	33.9	8	1	24.8	8	1	6	0	8	1	19.95	8	1	2.3	8	1	5.4	8	南	8	1	9.2	8	南	8	1	南南東	8	1	24.4	8	1	63	8	1	1000.2	8	1	1004.3	8	1	8	8	1	曇後一時雨、雷を伴う	8	1	晴後曇	8	1
7/2/2011	0	0	8	1	26.5	8	1	28.9	8	1	24.4	8	1	2.2	0	8	1	11.29	8	1	2.5	8	1	3.8	8	東	8	1	7.2	8	東北東	8	1	北東	8	1	24.8	8	1	72	8	1	999.3	8	1	1003.4	8	1	9.5	8	1	曇後一時晴	8	1	晴時々曇	8	1
7/3/2011	0	1	8	1	27.6	8	1	31.1	8	1	24.1	8	1	6.6	0	8	1	19.21	8	1	3	8	1	6.2	8	南東	8	1	10.2	8	南東	8	1	南南東	8	1	25.5	8	1	69	8	1	999.7	8	1	1003.9	8	1	6.8	8	1	薄曇	8	1	晴時々薄曇	8	1
7/4/2011	0	1	8	1	29.6	8	1	34.3	8	1	26.9	8	1	6.9	0	8	1	23.63	8	1	6.7	8	1	10.2	8	南	8	1	18.7	8	南西	8	1	南南西	8	1	25.9	8	1	63	8	1	995.2	8	1	999.2	8	1	10	8	1	薄曇一時晴	8	1	曇後時々雨、雷を伴う	8	1
7/5/2011	5.5	0	8	1	28	8	1	32.3	8	1	24.3	8	1	6.8	0	8	1	20.63	8	1	3.6	8	1	8.8	8	南南西	8	1	18.4	8	南南西	8	1	南	8	1	25.1	8	1	67	8	1	995.6	8	1	999.6	8	1	6.5	8	1	晴時々曇	8	1	晴一時雨、雷を伴う	8	1
7/6/2011	0	0	8	1	28	8	1	32.5	8	1	25.4	8	1	10.4	0	8	1	24.82	8	1	3.4	8	1	7.4	8	南東	8	1	12	8	南	8	1	南東	8	1	22.8	8	1	61	8	1	1001	8	1	1005.1	8	1	8.3	8	1	薄曇一時晴	8	1	曇時々雨	8	1
7/7/2011	0	0	8	1	26.8	8	1	29.7	8	1	23.6	8	1	1.9	0	8	1	14.46	8	1	4.1	8	1	8	8	南南西	8	1	13.3	8	南	8	1	南南西	8	1	24.3	8	1	69	8	1	1001.6	8	1	1005.8	8	1	10	8	1	曇	8	1	曇時々雨	8	1
7/8/2011	0	0	8	1	28.6	8	1	31.4	8	1	26.5	8	1	0	0	8	1	11.65	8	1	2.4	8	1	6.3	8	南西	8	1	10.2	8	南南西	8	1	南	8	1	26.1	8	1	67	8	1	1006	8	1	1010.1	8	1	10	8	1	曇一時雨	8	1	曇	8	1
7/9/2011	0	1	8	1	29.4	8	1	32.5	8	1	27.3	8	1	8.3	0	8	1	24.07	8	1	2.6	8	1	5.7	8	南東	8	1	8	8	南南東	8	1	南南東	8	1	27.5	8	1	67	8	1	1009.4	8	1	1013.5	8	1	6.3	8	1	曇後晴	8	1	晴	8	1
7/10/2011	0	1	8	1	29.3	8	1	33.6	8	1	26.4	8	1	13.3	0	8	1	28.19	8	1	3.1	8	1	6.9	8	南南東	8	1	10.4	8	南東	8	1	南	8	1	25.8	8	1	64	8	1	1010.4	8	1	1014.5	8	1	0.5	8	1	快晴	8	1	晴	8	1
7/11/2011	0	1	8	1	29.2	8	1	33.8	8	1	26.1	8	1	12.7	0	8	1	26.57	8	1	3.2	8	1	7.2	8	南	8	1	11.4	8	南	8	1	南南東	8	1	26.6	8	1	67	8	1	1011.5	8	1	1015.7	8	1	1.3	8	1	晴	8	1	晴	8	1
7/12/2011	0	0	8	1	28.7	8	1	32.3	8	1	26.2	8	1	10.5	0	8	1	24.88	8	1	4	8	1	7.4	8	南南東	8	1	11.9	8	南南東	8	1	南	8	1	26.5	8	1	68	8	1	1011.1	8	1	1015.2	8	1	3.5	8	1	晴一時曇	8	1	晴後一時曇	8	1
7/13/2011	0	1	8	1	28.6	8	1	32.7	8	1	26.4	8	1	11.3	0	8	1	26.48	8	1	3.6	5	1	6.9	8	南東	8	1	10.8	8	南南東	8	1	南南東	8	1	25.1	8	1	65	8	1	1010	8	1	1014.2	8	1	5.8	8	1	晴	8	1	晴	8	1
7/14/2011	0	1	8	1	28.9	8	1	33.4	8	1	25.9	8	1	11.3	0	8	1	25.47	8	1	3.3	8	1	6.6	8	南南東	8	1	10.2	8	南南東	8	1	南南東	8	1	24.5	8	1	62	8	1	1009	8	1	1013.2	8	1	2.3	8	1	晴	8	1	晴	8	1
7/15/2011	0	1	8	1	29.4	8	1	33.7	8	1	25.9	8	1	13.4	0	8	1	27.16	8	1	2.9	8	1	5.9	8	南東	8	1	8.9	8	南東	8	1	南南東	8	1	24.4	8	1	60	8	1	1008.3	8	1	1012.4	8	1	1	8	1	快晴	8	1	晴	8	1
7/16/2011	0	1	8	1	29	8	1	33.3	8	1	26.4	8	1	13.1	0	8	1	28.02	8	1	3.9	8	1	7.1	8	南東	8	1	11.4	8	南	8	1	南	8	1	25.8	8	1	65	8	1	1006.7	8	1	1010.8	8	1	1.5	8	1	晴	8	1	快晴	8	1
7/17/2011	0	1	8	1	29.6	8	1	34.1	8	1	26.1	8	1	13.5	0	8	1	28.23	8	1	4.4	8	1	8.2	8	南南西	8	1	12.9	8	南南西	8	1	南	8	1	25.8	8	1	62	8	1	1005.2	8	1	1009.3	8	1	0	8	1	快晴	8	1	晴後一時曇	8	1
